person,trial,choice,site
431,2,pre_crastinate,Aberdeen
431,3,pre_crastinate,Aberdeen
431,4,pre_crastinate,Aberdeen
431,5,pre_crastinate,Aberdeen
431,6,pre_crastinate,Aberdeen
432,1,sensible,Aberdeen
432,2,sensible,Aberdeen
432,3,sensible,Aberdeen
432,4,sensible,Aberdeen
432,5,sensible,Aberdeen
432,6,sensible,Aberdeen
433,1,double_pre_cra,Aberdeen
433,2,double_pre_cra,Aberdeen
433,3,double_pre_cra,Aberdeen
433,4,double_pre_cra,Aberdeen
433,5,double_pre_cra,Aberdeen
433,6,double_pre_cra,Aberdeen
434,1,sensible,Aberdeen
434,2,sensible,Aberdeen
434,3,sensible,Aberdeen
434,4,sensible,Aberdeen
434,5,sensible,Aberdeen
434,6,sensible,Aberdeen
501,1,double_pre_cra,Aberdeen
501,2,double_pre_cra,Aberdeen
501,3,double_pre_cra,Aberdeen
501,4,double_pre_cra,Aberdeen
501,5,double_pre_cra,Aberdeen
501,6,double_pre_cra,Aberdeen
502,1,pre_crastinate,Aberdeen
502,2,sensible,Aberdeen
502,3,sensible,Aberdeen
502,4,sensible,Aberdeen
502,5,sensible,Aberdeen
502,6,sensible,Aberdeen
503,1,pre_crastinate,Aberdeen
503,2,pre_crastinate,Aberdeen
503,3,pre_crastinate,Aberdeen
503,4,sensible,Aberdeen
503,5,sensible,Aberdeen
503,6,sensible,Aberdeen
504,1,double_pre_cra,Aberdeen
504,2,double_pre_cra,Aberdeen
504,3,double_pre_cra,Aberdeen
504,4,double_pre_cra,Aberdeen
504,5,double_pre_cra,Aberdeen
504,6,double_pre_cra,Aberdeen
505,1,pre_crastinate,Aberdeen
505,2,sensible,Aberdeen
505,3,sensible,Aberdeen
505,4,sensible,Aberdeen
505,5,sensible,Aberdeen
505,6,sensible,Aberdeen
506,1,pre_crastinate,Aberdeen
506,2,pre_crastinate,Aberdeen
506,3,sensible,Aberdeen
506,4,sensible,Aberdeen
506,5,sensible,Aberdeen
506,6,sensible,Aberdeen
507,1,pre_crastinate,Aberdeen
507,2,sensible,Aberdeen
507,3,sensible,Aberdeen
507,4,pre_crastinate,Aberdeen
507,5,pre_crastinate,Aberdeen
507,6,pre_crastinate,Aberdeen
508,1,double_pre_cra,Aberdeen
508,2,double_pre_cra,Aberdeen
508,3,double_pre_cra,Aberdeen
508,4,double_pre_cra,Aberdeen
508,5,double_pre_cra,Aberdeen
508,6,double_pre_cra,Aberdeen
509,1,sensible,Aberdeen
509,2,sensible,Aberdeen
509,3,sensible,Aberdeen
509,4,sensible,Aberdeen
509,5,sensible,Aberdeen
509,6,sensible,Aberdeen
510,1,double_pre_cra,Aberdeen
510,2,double_pre_cra,Aberdeen
510,3,sensible,Aberdeen
